"","name_","integer_","total_","na_count_","median_","min_","max_","stain","mutuality"
"53","infocus_cell_mitotrackerdeepred_ser_dark_1px_mean","FALSE","8216","136","0.035","0.0073","0.14","mito","TRUE"
"54","infocus_cell_mitotrackerdeepred_ser_dark_1px_stdev","FALSE","8216","225","0.0115","0.000158","0.178","mito","TRUE"
"55","infocus_regression_a_b_mean","FALSE","8216","136","-1.74","-12.5","-0.0114","comb","TRUE"
"56","infocus_regression_a_b_stdev","FALSE","8216","225","1.06","0.00673","7.13","comb","TRUE"
"57","infocus_intensity_nucleus_alexa488_mean_2_mean","FALSE","8216","136","711","255","6920",NA,"FALSE"
"58","infocus_intensity_nucleus_alexa488_mean_2_stdev","FALSE","8216","225","337","2.8","11400",NA,"FALSE"
"59","infocus_intensity_nucleus_alexa488_stdev_mean","FALSE","8216","136","227","24.7","3310","h2ax","TRUE"
"60","infocus_intensity_nucleus_alexa488_stdev_std_dev","FALSE","8216","225","195","1.15","5620","h2ax","TRUE"
"61","infocus_intensity_nucleus_alexa488_median_mean","FALSE","8216","136","683","254","7130","h2ax","TRUE"
"62","infocus_intensity_nucleus_alexa488_median_stdev","FALSE","8216","225","323","5.69","11800","h2ax","TRUE"
"63","infocus_intensity_nucleus_alexa488_quantile_75_percent_mean","FALSE","8216","136","841","273","8980","h2ax","TRUE"
"64","infocus_intensity_nucleus_alexa488_quantile_75_percent_stdev","FALSE","8216","225","448","1.41","14900","h2ax","TRUE"
"65","infocus_intensity_cell_mitotrackerdeepred_mean_2_mean","FALSE","8216","136","3480","670","41700",NA,"FALSE"
"66","infocus_intensity_cell_mitotrackerdeepred_mean_2_stdev","FALSE","8216","225","1330","13.7","33000",NA,"FALSE"
"67","infocus_intensity_cell_mitotrackerdeepred_stdev_mean","FALSE","8216","136","1380","58.1","20000","mito","TRUE"
"68","infocus_intensity_cell_mitotrackerdeepred_stdev_std_dev","FALSE","8216","225","740","2.44","13100","mito","TRUE"
"69","infocus_intensity_cell_mitotrackerdeepred_median_mean","FALSE","8216","136","3260","660","45300","mito","TRUE"
"70","infocus_intensity_cell_mitotrackerdeepred_median_stdev","FALSE","8216","225","1290","23.3","42100","mito","TRUE"
"71","infocus_intensity_cell_mitotrackerdeepred_quantile_75_percent_mean","FALSE","8216","136","4370","712","60400","mito","TRUE"
"72","infocus_intensity_cell_mitotrackerdeepred_quantile_75_percent_stdev","FALSE","8216","225","1820","4.95","41100","mito","TRUE"
"73","infocus_intensity_cell_hoechst_mean_mean","FALSE","8216","136","1300","396","12300","hoescht","TRUE"
"74","infocus_intensity_cell_hoechst_mean_stdev","FALSE","8216","225","896","0.71","16600","hoescht","TRUE"
"75","infocus_intensity_cell_hoechst_stdev_mean","FALSE","8216","136","1430","87.4","12000","hoescht","TRUE"
"76","infocus_intensity_cell_hoechst_stdev_std_dev","FALSE","8216","225","1260","3.72","11700","hoescht","TRUE"
"77","infocus_intensity_cell_hoechst_median_mean","FALSE","8216","136","678","292","10500","hoescht","TRUE"
"78","infocus_intensity_cell_hoechst_median_stdev","FALSE","8216","225","380","5.66","15500","hoescht","TRUE"
"79","infocus_intensity_cell_hoechst_quantile_75_percent_mean","FALSE","8216","136","1410","360","18300","hoescht","TRUE"
"80","infocus_intensity_cell_hoechst_quantile_75_percent_stdev","FALSE","8216","225","1120","4.95","25000","hoescht","TRUE"
"81","infocus_total_spot_area_mean","FALSE","8216","136","23.1","0","199","h2ax","TRUE"
"82","infocus_total_spot_area_stdev","FALSE","8216","225","45.2","0","287","h2ax","TRUE"
"83","infocus_relative_spot_intensity_mean","FALSE","8216","136","0.0501","0","0.54","h2ax","TRUE"
"84","infocus_relative_spot_intensity_stdev","FALSE","8216","225","0.0868","0","0.431","h2ax","TRUE"
"85","infocus_numberofspots_mean","FALSE","8216","136","1.9","0","19.2","h2ax","TRUE"
"86","infocus_numberofspots_stdev","FALSE","8216","225","3.27","0","27.9","h2ax","TRUE"
"87","infocus_numberofspots_per_area_of_nucleus_mean","FALSE","8216","136","0.00425","0","0.0292","h2ax","TRUE"
"88","infocus_numberofspots_per_area_of_nucleus_stdev","FALSE","8216","225","0.00558","0","0.0189","h2ax","TRUE"
"89","infocus_regression_a_b_2_mean","FALSE","8216","136","2.6","-19.8","4.84","h2ax","TRUE"
"90","infocus_regression_a_b_2_stdev","FALSE","8216","225","2.12","0.00963","16.7","h2ax","TRUE"
"91","infocus_h2axpositive_mean","FALSE","8216","136","0.105","0","1","h2ax","TRUE"
"92","infocus_h2axpositive_stdev","FALSE","8216","225","0.313","0","0.707","h2ax","TRUE"
"93","infocus_h2axnegative_mean","FALSE","8216","136","0.895","0","1","h2ax","TRUE"
"94","infocus_h2axnegative_stdev","FALSE","8216","225","0.313","0","0.707","h2ax","TRUE"
"95","infocus_regression_a_b_3_mean","FALSE","8216","136","0.398","-11.9","1.02","comb","TRUE"
"96","infocus_regression_a_b_3_stdev","FALSE","8216","225","0.348","0.003","13.6","comb","TRUE"
"97","infocus_stressed_mean","FALSE","8216","136","0.11","0","1","comb","TRUE"
"98","infocus_stressed_stdev","FALSE","8216","225","0.3","0","0.707","comb","TRUE"
"99","infocus_unstressed_mean","FALSE","8216","136","0.89","0","1","comb","TRUE"
"100","infocus_unstressed_stdev","FALSE","8216","225","0.3","0","0.707","comb","TRUE"
"101","infocus_cell_area_mm2_mean","FALSE","8216","136","712","43.6","3340",NA,"TRUE"
"102","infocus_cell_area_mm2_stdev","FALSE","8216","225","347","1.76","2070",NA,"TRUE"
"103","infocus_cell_roundness_mean","FALSE","8216","136","0.635","0.25","1.04","mito","TRUE"
"104","infocus_cell_roundness_stdev","FALSE","8216","225","0.137","0.000418","0.457","mito","TRUE"
"105","infocus_cell_width_mm_mean","FALSE","8216","136","18.2","5.07","40.5","mito","TRUE"
"106","infocus_cell_width_mm_stdev","FALSE","8216","225","5.37","0","28.7","mito","TRUE"
"107","infocus_cell_length_mm_mean","FALSE","8216","136","47.7","7.56","235","mito","TRUE"
"108","infocus_cell_length_mm_stdev","FALSE","8216","225","18","0.0788","76.2","mito","TRUE"
"109","infocus_nucleus_area_mm2_mean","FALSE","8216","136","197","40.8","1110",NA,"TRUE"
"110","infocus_nucleus_area_mm2_stdev","FALSE","8216","225","85.3","0.25","1330",NA,"TRUE"
"111","infocus_nucleus_roundness_mean","FALSE","8216","136","0.932","0.601","1.04","hoescht","TRUE"
"112","infocus_nucleus_roundness_stdev","FALSE","8216","225","0.0681","0.000796","0.31","hoescht","TRUE"
"113","infocus_nucleus_width_mm_mean","FALSE","8216","136","11","4.93","24.5","hoescht","TRUE"
"114","infocus_nucleus_width_mm_stdev","FALSE","8216","225","2.62","0","17.6","hoescht","TRUE"
"115","infocus_nucleus_length_mm_mean","FALSE","8216","136","19.2","7.46","51.4","hoescht","TRUE"
"116","infocus_nucleus_length_mm_stdev","FALSE","8216","225","5.03","0","35","hoescht","TRUE"
"117","infocus_number_of_micronuclei_mean","FALSE","8216","136","0.0233","0","2","hoescht","TRUE"
"118","infocus_number_of_micronuclei_stdev","FALSE","8216","225","0.17","0","2.83","hoescht","TRUE"
"119","infocus_miconucleated_cells_mean","FALSE","8216","136","0.0192","0","0.667","hoescht","TRUE"
"120","infocus_miconucleated_cells_stdev","FALSE","8216","225","0.139","0","0.707","hoescht","TRUE"
"121","nonborder_numberofobjects","TRUE","8216","55","93","0","7330","hoescht","TRUE"
